Nama Koperasi,Kecamatan,Desa,lat,lon,Progres Pembangunan (%),Kategori Pembangunan,jarak_faskes_m,jarak_pendidikan_m,jarak_jalan_m,jarak_pemukiman_m,faskes_500m,faskes_1km,pendidikan_500m,pendidikan_1km,skor_rentan,kategori_rentan
KOPERASI DESA MERAH PUTIH KALISUBE KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Kalisube,-7.5157194,109.2752527,82.39,> 75%,2296.9055384651824,2014.3632160195825,1978.6797304422942,122.97850423973235,0,0,0,0,0.0009314821339215194,Rendah
KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN JATILAWANG KABUPATEN BANYUMAS,Jatilawang,Karanganyar,-7.5442352,109.1412225,82.23,> 75%,6414.109026390012,1492.115901893444,11370.321255443465,17.29363902104719,0,0,0,0,0.003009912303332347,Rendah
KOPERASI DESA MERAH PUTIH PANDAK KECAMATAN SUMPIUH KABUPATEN BANYUMAS,Sumpiuh,Pandak,-7.6137492,109.3393942,80.93,> 75%,10309.202942140757,10639.87294391657,14926.592849734754,20.82662644262483,0,0,0,0,0.005641561828732593,Rendah
KOPERASI DESA MERAH PUTIH LIMPAKUWUS KECAMATAN SUMBANG KABUPATEN BANYUMAS,Sumbang,Limpakuwus,-7.3076195,109.2468132,80.54,> 75%,3129.810029263465,1904.1248232999365,491.3954183537186,150.92606393404193,0,0,0,0,0.0008440953050180086,Rendah
KOPERASI DESA MERAH PUTIH BINANGUN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Binangun,-7.5369691,109.2465611,79.72,> 75%,4998.536077767857,4930.11286692816,4493.60574662266,7.423548895154909,0,0,0,0,0.0022305025874759534,Rendah
KOPERASI DESA MERAH PUTIH PEKUNDEN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Pekunden,-7.523129009,109.285301,79.03,> 75%,918.6443862555075,976.9569845448669,3310.145564492612,182.0572128036895,0,1,0,1,0.0007330313372671506,Rendah
KOPERASI DESA MERAH PUTIH PASIR LOR KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,Karanglewas,Pasir Lor,-7.404529743,109.2030833,78.66,> 75%,2802.1512730977984,1080.9068252849695,176.9028516515978,139.03188823915258,0,0,0,0,0.0006108544084319704,Rendah
KOPERASI DESA MERAH PUTIH KEDUNGUTER KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Kedunguter,-7.5112193,109.2989955,78.53,> 75%,2005.6115812224457,713.0469794436339,3896.5794588304007,10.79533063117479,0,0,0,2,0.0009584603171742535,Rendah
KOPERASI DESA MERAH PUTIH KARANGMANGU KECAMATAN PURWOJATI KABUPATEN BANYUMAS,Purwojati,Karangmangu,-7.479750782,109.1405795,78.34,> 75%,8210.196604355064,4039.6341401946024,8364.763221686804,106.69165405933971,0,0,0,0,0.003277322642250644,Rendah
KOPERASI DESA MERAH PUTIH KARANG TENGAH KECAMATAN BATURRADEN KABUPATEN BANYUMAS,Baturraden,Karang Tengah,-7.344909243,109.2277562,78.22,> 75%,1513.4501021777573,1592.7891297763601,190.16788425877402,94.07284576379645,0,0,0,0,0.00045092766031883824,Rendah
KOPERASI DESA MERAH PUTIH KARANGKEDAWUNG KECAMATAN SOKARAJA KABUPATEN BANYUMAS,Sokaraja,Karangkedawung,-7.454829096,109.2777687,78.05,> 75%,788.4225221970592,298.4370041431893,510.79515130512965,130.46496667197647,0,3,1,3,0.00017627940437840844,Rendah
KOPERASI DESA MERAH PUTIH SOMAKATON KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,Somagede,Somakaton,-7.501286105,109.3447647,77.91,> 75%,5855.89139133068,1461.9129636488767,5950.901555025376,25.494504741059135,0,0,0,0,0.002083957404808346,Rendah
KOPERASI DESA MERAH PUTIH KUTASARI KECAMATAN BATURRADEN KABUPATEN BANYUMAS,Baturraden,Kutasari,-7.384087922,109.2324302,77.86,> 75%,3359.6076228778174,1606.6875671954365,414.91400139295683,6.82747870340087,0,0,0,0,0.000811683568293444,Rendah
KOPERASI DESA MERAH PUTIH CIPETE KECAMATAN CILONGOK KABUPATEN BANYUMAS,Cilongok,Cipete,-7.4167909,109.1267119,77.38,> 75%,5322.637591400982,2357.6357703902318,8147.270939726912,21.872350484155195,0,0,0,0,0.0024550756352280855,Rendah
KOPERASI DESA MERAH PUTIH KARANGGUDE KULON KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,Karanglewas,Karanggude Kulon,-7.410446,109.184558,76.0,> 75%,4467.563057895931,1927.3758736716456,1876.5825143449401,122.75607410979556,0,0,0,0,0.0012969379568230268,Rendah
KOPERASI DESA MERAH PUTIH CIKIDANG KECAMATAN CILONGOK KABUPATEN BANYUMAS,Cilongok,Cikidang,-7.397807,109.124969,75.15,> 75%,5380.74978240827,655.7098328182002,7554.540460246698,76.43465616114979,0,0,0,5,0.002124739649032573,Rendah
KOPERASI DESA MERAH PUTIH SIKAPAT KECAMATAN SUMBANG KABUPATEN BANYUMAS,Sumbang,Sikapat,-7.342811,109.279282,75.11,> 75%,4968.48671248955,2035.784986135193,1612.8541537742747,99.9605395645038,0,0,0,0,0.00136158238419356,Rendah
