kel,No,Nama Koperasi,Koordinat,Provinsi ,Kota,Kecamatan,Desa,Progres Pembangunan (%),Kategori Pembangunan
,52,KOPERASI DESA MERAH PUTIH KALICUPAK LOR KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.455923566,109.3271999",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Kalicupak Lor,100.00,100%
,53,KOPERASI DESA MERAH PUTIH SURO KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.492747,109.3071467",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Suro,100.00,100%
,54,KOPERASI DESA MERAH PUTIH MARGASANA KECAMATAN JATILAWANG KABUPATEN BANYUMAS,"-7.53224908,109.1387989",JAWA TENGAH,KAB. BANYUMAS,Jatilawang,Margasana,100.00,100%
,55,KOPERASI DESA MERAH PUTIH CILONGOK KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.409165091,109.1440405",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Cilongok,100.00,100%
12,56,KOPERASI DESA MERAH PUTIH RAWALO KECAMATAN RAWALO KABUPATEN BANYUMAS,"-7.535189, 109.178191",JAWA TENGAH,KAB. BANYUMAS,Rawalo,Rawalo,100.00,100%
,57,KOPERASI DESA MERAH PUTIH KALIPUTIH KECAMATAN PURWOJATI KABUPATEN BANYUMAS,"-7.463669, 109.134950",JAWA TENGAH,KAB. BANYUMAS,Purwojati,Kaliputih,100.00,100%
,58,KOPERASI DESA MERAH PUTIH KEBOCORAN KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"-7.392571, 109.209513",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Kebocoran,100.00,100%
,59,KOPERASI DESA MERAH PUTIH GANDATAPA KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.341790, 109.267565",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Gandatapa,100.00,100%
,60,KOPERASI DESA MERAH PUTIH KLAHANG KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.442964, 109.313490",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Klahang,100.00,100%
13,61,KOPERASI DESA MERAH PUTIH KEBANGGAN KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.380195, 109.261371",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Kebanggan,100.00,100%
,62,KOPERASI DESA MERAH PUTIH TAMBAKNEGARA KECAMATAN RAWALO KABUPATEN BANYUMAS,"-7.514477, 109.193989",JAWA TENGAH,KAB. BANYUMAS,Rawalo,Tambaknegara,100.00,100%
,63,KOPERASI DESA MERAH PUTIH GAMBARSARI KECAMATAN KEBASEN KABUPATEN BANYUMAS,"-7.526666, 109.211222",JAWA TENGAH,KAB. BANYUMAS,Kebasen,Gambarsari,100.00,100%
,64,KOPERASI DESA MERAH PUTIH PURWOSARI KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.393290, 109.229668",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Purwosari,100.00,100%
,65,KOPERASI DESA MERAH PUTIH PANGEBATAN KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.437000, 109.206212",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Pangebatan,100.00,100%
14,66,KOPERASI DESA MERAH PUTIH KEBARONGAN KECAMATAN KEMRANJEN KABUPATEN BANYUMAS,"-7.592513, 109.290186",JAWA TENGAH,KAB. BANYUMAS,Kemranjen,Kebarongan,100.00,100%
,67,KOPERASI DESA MERAH PUTIH PESANTREN KECAMATAN TAMBAK KABUPATEN BANYUMAS,"-7.616932, 109.422070",JAWA TENGAH,KAB. BANYUMAS,Tambak,Pesantren,100.00,100%
,68,KOPERASI DESA MERAH PUTIH KARANGNANAS KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.460907, 109.260262",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Karangnanas,100.00,100%
,69,KOPERASI DESA MERAH PUTIH DAWUHAN KULON KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"-7.378605, 109.190367",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Dawuhan Kulon,100.00,100%
,70,KOPERASI DESA MERAH PUTIH KARANGGINTUNG KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.378225, 109.249194",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Karanggintung,100.00,100%
15,71,KOPERASI DESA MERAH PUTIH LANGGONGSARI KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.404197, 109.168380",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Langgongsari,100.00,100%
,72,KOPERASI DESA MERAH PUTIH SOMAGEDE KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,"-7.525607, 109.330369",JAWA TENGAH,KAB. BANYUMAS,Somagede,Somagede,100.00,100%
,73,KOPERASI DESA MERAH PUTIH PANDAK KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.379227, 109.241389",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Pandak,97.09,> 75%
,74,KOPERASI DESA MERAH PUTIH TUMIYANG KECAMATAN PEKUNCEN KABUPATEN BANYUMAS,"-7.322002, 109.120991",JAWA TENGAH,KAB. BANYUMAS,Pekuncen,Tumiyang,96.78,> 75%
,75,KOPERASI DESA MERAH PUTIH KEDUNGMALANG KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.391283, 109.250888",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Kedungmalang,95.92,> 75%
16,76,KOPERASI DESA MERAH PUTIH BATUANTEN KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.434605, 109.128733",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Batuanten,95.17,> 75%
,77,KOPERASI DESA MERAH PUTIH PAMIJEN KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.437001, 109.272331",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Pamijen,95.00,> 75%
,78,KOPERASI DESA MERAH PUTIH KEMUTUG KIDUL KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.344441, 109.236737",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Kemutug Kidul,94.77,> 75%
,79,KOPERASI DESA MERAH PUTIH KALIWEDI KECAMATAN KEBASEN KABUPATEN BANYUMAS,"-7.558429, 109.232487",JAWA TENGAH,KAB. BANYUMAS,Kebasen,Kaliwedi,94.50,> 75%
,80,KOPERASI DESA MERAH PUTIH KARANGKLESEM KECAMATAN PEKUNCEN KABUPATEN BANYUMAS,"-7.377669971,109.0859425",JAWA TENGAH,KAB. BANYUMAS,Pekuncen,Karangklesem,94.12,> 75%
17,81,KOPERASI DESA MERAH PUTIH CINDAGA KECAMATAN KEBASEN KABUPATEN BANYUMAS,"-7.548123623,109.1879779",JAWA TENGAH,KAB. BANYUMAS,Kebasen,Cindaga,92.65,> 75%
,82,KOPERASI DESA MERAH PUTIH PLANA KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,"-7.49021091,109.352713",JAWA TENGAH,KAB. BANYUMAS,Somagede,Plana,92.23,> 75%
,83,KOPERASI DESA MERAH PUTIH KOTAYASA KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.3349691,109.2501295",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Kotayasa,92.12,> 75%
,84,KOPERASI DESA MERAH PUTIH SOKARAJA LOR KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.448038737,109.2973783",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Sokaraja Lor,91.79,> 75%
,85,KOPERASI DESA MERAH PUTIH SIBRAMA KECAMATAN KEMRANJEN KABUPATEN BANYUMAS,"-7.612222517,109.3255292",JAWA TENGAH,KAB. BANYUMAS,Kemranjen,Sibrama,90.17,> 75%
18,86,KOPERASI DESA MERAH PUTIH KEDUNGWULUH KIDUL KECAMATAN PATIKRAJA KABUPATEN BANYUMAS,"-7.471747, 109.205289",JAWA TENGAH,KAB. BANYUMAS,Patikraja,Kedungwuluh Kidul,89.93,> 75%
,87,KOPERASI DESA MERAH PUTIH KEDUNGBANTENG KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"-7.391537, 109.201683",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Kedungbanteng,89.32,> 75%
,88,KOPERASI DESA MERAH PUTIH DAWUHAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.520468, 109.259886",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Dawuhan,89.06,> 75%
,89,KOPERASI DESA MERAH PUTIH KARANGRAU KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.553994,109.2850227",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Karangrau,88.20,> 75%
,90,KOPERASI DESA MERAH PUTIH WIRADADI KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.4687467,109.2563505",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Wiradadi,86.87,> 75%
19,91,KOPERASI DESA MERAH PUTIH WATUAGUNG KECAMATAN TAMBAK KABUPATEN BANYUMAS,"-7.6005303,109.4117915",JAWA TENGAH,KAB. BANYUMAS,Tambak,Watuagung,85.80,> 75%
,92,KOPERASI DESA MERAH PUTIH KALIURIP KECAMATAN PURWOJATI KABUPATEN BANYUMAS,"-7.4778596,109.085455",JAWA TENGAH,KAB. BANYUMAS,Purwojati,Kaliurip,85.45,> 75%
,93,KOPERASI DESA MERAH PUTIH CIRAHAB KECAMATAN LUMBIR KABUPATEN BANYUMAS,"-7.4731388,109.0281529",JAWA TENGAH,KAB. BANYUMAS,Lumbir,Cirahab,85.06,> 75%
,94,KOPERASI DESA MERAH PUTIH PEGALONGAN KECAMATAN PATIKRAJA KABUPATEN BANYUMAS,"-7.4828571,109.2369705",JAWA TENGAH,KAB. BANYUMAS,Patikraja,Pegalongan,84.88,> 75%
,95,KOPERASI DESA MERAH PUTIH PAMIJEN KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.3748333,109.228572",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Pamijen,84.44,> 75%
20,96,KOPERASI DESA MERAH PUTIH TAMBAKSARI KIDUL KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.3990228,109.2595446",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Tambaksari Kidul,84.38,> 75%
,97,KOPERASI DESA MERAH PUTIH KARANGNANGKA KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"-7.3743813,109.215243",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Karangnangka,83.59,> 75%
,98,KOPERASI DESA MERAH PUTIH KAWUNGCARANG KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.3788984,109.2545148",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Kawungcarang,83.29,> 75%
,99,KOPERASI DESA MERAH PUTIH KARANGLO KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.3959039,109.115048",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Karanglo,82.96,> 75%
